id,date,latitude,longitude,priority,ambulance,start_time,TO_INCIDENT_duration,AT_INCIDENT_duration,TO_HOSPITAL_duration,AT_HOSPITAL_duration,TO_BASE_duration,OTHER_duration,hospital_latitude,hospital_longitude
41,2019-01-31 03:35:44.100,32.7176750373447,-117.1406303770913,,1,2019-01-31 03:38:07.100,0 days 00:06:26,0 days 00:07:35,0 days 00:01:42,0 days 00:09:30,0 days 00:05:15,0 days,32.736006,-117.127023
42,2019-01-31 03:42:38.100,32.78847521011398,-117.0937909846551,,3,2019-01-31 03:46:18.100,0 days 00:01:36,0 days 00:08:28,0 days 00:01:02,0 days 00:08:56,0 days 00:01:27,0 days,32.776485,-117.09868
43,2019-01-31 03:47:34.100,32.710797874181885,-117.12516568150504,,2,2019-01-31 03:47:34.100,0 days 00:02:59,0 days 00:08:01,0 days 00:01:47,0 days 00:08:57,0 days 00:03:39,0 days,32.736006,-117.127023
44,2019-01-31 03:52:07.100,32.75696116595468,-117.03523619633836,,4,2019-01-31 03:52:07.100,0 days 00:06:55,0 days 00:06:14,0 days 00:02:26,0 days 00:08:19,0 days 00:06:40,0 days,32.724462,-117.048276
45,2019-01-31 03:59:06.100,32.75788674398611,-117.12113091645932,,0,2019-01-31 04:02:37.100,0 days 00:02:16,0 days 00:08:16,0 days 00:01:39,0 days 00:05:33,0 days 00:02:20,0 days,32.736006,-117.127023
46,2019-01-31 04:03:21.100,32.73981350426591,-117.16613746831273,,3,2019-01-31 04:07:47.100,0 days 00:03:59,0 days 00:05:50,0 days 00:02:17,0 days 00:07:49,0 days 00:03:08,0 days,32.736006,-117.127023
47,2019-01-31 04:07:56.100,32.734926760067964,-117.1364003187532,,1,2019-01-31 04:08:35.100,0 days 00:05:15,0 days 00:06:09,0 days 00:00:40,0 days 00:06:51,0 days 00:05:15,0 days,32.736006,-117.127023
48,2019-01-31 04:14:42.100,32.787340581208674,-117.1395491622872,,2,2019-01-31 04:14:42.100,0 days 00:06:26,0 days 00:07:40,0 days 00:02:24,0 days 00:08:37,0 days 00:04:16,0 days,32.776485,-117.09868
49,2019-01-31 04:18:00.100,32.737792439163705,-117.14877513824158,,0,2019-01-31 04:22:41.100,0 days 00:03:33,0 days 00:05:07,0 days 00:01:40,0 days 00:07:03,0 days 00:02:20,0 days,32.736006,-117.127023
50,2019-01-31 04:23:38.100,32.78514701125937,-117.07191648352648,,4,2019-01-31 04:23:38.100,0 days 00:05:01,0 days 00:06:36,0 days 00:01:40,0 days 00:09:03,0 days 00:03:31,0 days,32.776485,-117.09868
51,2019-01-31 04:26:53.100,32.82283411847218,-117.125998638763,,3,2019-01-31 04:30:50.100,0 days 00:02:43,0 days 00:07:41,0 days 00:03:26,0 days 00:08:47,0 days 00:01:27,0 days,32.776485,-117.09868
